City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Current Temp
Santa Rosa,100,AR,1574544850,27,-36.62,-64.29,68.04,17.67,68.04
Rawson,100,AR,1574544575,33,-43.3,-65.11,68.09,29.46,68.09
Bela Vista,79,BR,1574544850,32,-22.11,-56.53,95.95,7.09,95.95
Lavara,74,GR,1574544851,87,41.27,26.38,47.25,9.53,47.25
Lebu,75,ET,1574544851,87,8.96,38.73,59.0,9.17,59.0
Mansa,40,IN,1574544851,73,23.43,72.66,69.8,4.7,69.8
Ocampo,13,MX,1574544852,36,27.32,-102.4,66.06,5.03,66.06
Wick,90,GB,1574544852,100,51.45,-2.43,50.0,5.82,48.63
Portland,1,US,1574544226,35,43.66,-70.25,41.0,9.17,37.31
Obo,100,CF,1574544853,93,5.39,26.49,68.81,4.14,68.81
Nabire,100,ID,1574544604,95,-3.36,135.5,69.51,2.04,69.51
Brae,100,GB,1574544853,93,60.4,-1.35,48.2,20.8,48.2
Inuvik,90,CA,1574544853,84,68.36,-133.71,8.6,2.24,1.6
Koson,40,UZ,1574544853,86,39.04,65.59,37.4,2.24,37.4
Kodiak,1,US,1574544854,52,39.95,-94.76,46.4,9.17,45.28
Isangel,100,VU,1574544854,60,-19.55,169.27,75.2,6.93,75.2
Estelle,100,FR,1574544854,93,43.97,3.47,54.0,13.87,53.19
Tommot,100,RU,1574544855,94,58.97,126.27,-11.52,7.78,-11.52
Kalabo,79,ZM,1574544855,88,-15.0,22.67,69.1,1.57,69.1
Bluff,35,AU,1574544855,78,-23.58,149.07,71.87,8.48,71.87
Buchanan,75,LR,1574544855,94,5.88,-10.05,78.8,3.83,78.8
Sabang,100,PH,1574544856,96,13.8,121.11,72.21,3.56,72.21
Saint Anthony,75,US,1574544856,56,43.97,-111.68,42.01,8.05,40.57
Sungairaya,100,ID,1574544856,94,0.7,108.9,75.0,1.16,75.0
Ifanadiana,96,MG,1574544856,99,-21.3,47.64,65.55,3.33,65.55
Puerto Penasco,94,MX,1574544819,47,31.32,-113.53,71.01,8.01,71.01
Seoul,1,KR,1574544857,100,37.57,126.98,46.4,1.12,42.26
Fujin,100,CN,1574544857,66,47.24,132.03,20.68,7.65,20.68
Dong Hoi,80,VN,1574544841,90,17.48,106.6,65.88,2.46,65.88
Lerdo,39,MX,1574544858,73,18.63,-95.52,81.45,9.57,81.45
Arcoverde,100,BR,1574544858,40,-8.42,-37.06,83.5,6.55,83.5
Ayan,99,IR,1574544858,90,38.23,44.7,24.58,1.05,24.58
Cuiaba,75,BR,1574544609,66,-15.6,-56.1,84.2,5.82,84.2
Slave Lake,20,CA,1574544858,52,55.28,-114.77,44.6,16.11,44.6
Galveston,90,US,1574544859,86,40.58,-86.19,36.0,6.44,33.62
Santa Cruz,32,BR,1574544859,66,-6.22,-36.02,78.35,11.36,78.35
Sao Filipe,66,CV,1574544859,79,14.9,-24.5,72.61,16.44,72.61
Krasne,90,UA,1574544859,100,49.91,24.61,28.4,15.66,28.4
East London,98,ZA,1574544860,87,-33.02,27.91,69.03,7.85,69.03
George,100,MW,1574544860,78,-15.35,34.83,76.66,4.05,76.66
Nyamuswa,75,TZ,1574544860,94,-1.9,34.02,68.0,6.93,68.0
Sitka,0,US,1574544860,34,37.17,-99.65,55.99,8.99,55.99
Taiyuan,100,CN,1574544860,35,37.86,112.56,41.0,17.9,41.0
Hope,90,US,1574544861,66,33.67,-93.59,51.01,9.17,49.66
Solnechnyy,89,RU,1574544861,92,50.72,136.64,7.41,1.34,7.41
Zyryanka,100,RU,1574544861,98,65.73,150.89,-17.68,3.91,-17.68
Mount Gambier,40,AU,1574544861,76,-37.83,140.78,53.6,5.82,53.6
Bambous Virieux,75,MU,1574544861,88,-20.34,57.76,78.01,5.82,77.58
Sibu,75,MY,1574544643,100,2.29,111.83,75.2,2.3,75.09
Ribeira Grande,75,PT,1574544593,94,38.52,-28.7,68.0,24.16,68.0
Pedernales,74,EC,1574544614,76,0.07,-80.05,77.58,8.03,77.58
Haines Junction,90,CA,1574544862,95,60.75,-137.51,20.34,5.97,20.34
Castro,90,CL,1574544863,77,-42.48,-73.76,59.0,16.11,59.0
Santa Maria,75,BR,1574544618,88,-16.02,-48.01,69.8,11.41,67.8
Bilma,0,NE,1574544863,16,18.69,12.92,77.86,7.16,77.86
Katsuura,20,JP,1574544864,93,33.93,134.5,51.8,8.05,51.8
Pevek,100,RU,1574544864,95,69.7,170.27,-8.9,1.86,-8.9
Laguna,20,BZ,1574544591,66,16.17,-88.94,87.8,4.7,87.8
Mangit,90,UZ,1574544864,86,40.6,70.96,39.2,7.63,39.2
Gizo,0,IL,1574544633,67,31.8,34.94,62.6,4.7,57.51
Bayir,100,TR,1574544865,93,37.27,28.22,53.6,2.24,53.6
Camocim,92,BR,1574544865,71,-2.9,-40.84,81.57,12.21,81.57
Barcelos,78,BR,1574544865,68,-0.97,-62.93,85.64,3.33,85.64
Rochegda,35,RU,1574544865,90,62.67,43.41,13.15,3.67,13.15
Sao Joao da Barra,75,BR,1574544866,88,-21.64,-41.05,77.0,2.24,77.0
Kendari,21,ID,1574544866,96,-3.99,122.52,71.94,1.92,71.94
Komsomolskiy,79,RU,1574544866,81,67.55,63.78,2.88,2.33,2.88
Kurilsk,100,RU,1574544626,95,45.23,147.88,42.96,17.47,42.96
San Cristobal,70,HN,1574544606,73,14.68,-86.92,76.69,4.29,76.69
Yatou,40,CM,1574544608,94,3.63,9.81,78.8,3.04,78.8
Sobolevo,100,RU,1574544867,36,54.43,31.9,23.59,11.03,23.59
Byron Bay,40,AU,1574544603,73,-28.65,153.62,75.99,13.87,73.18
Werda,0,BW,1574544867,12,-25.27,23.28,81.1,16.98,81.1
Abu Dhabi,0,AE,1574544630,68,24.47,54.37,69.8,1.12,68.86
Constitucion,5,MX,1574544868,8,23.99,-104.67,77.0,6.93,77.0
Thinadhoo,40,MV,1574544868,78,0.53,72.93,82.62,10.98,82.62
Ilulissat,100,GL,1574544868,64,69.22,-51.1,35.6,17.22,35.6
Nikolayevsk-na-amure,100,RU,1574544868,94,53.14,140.72,10.63,7.94,10.63
Klaksvik,100,FO,1574544869,100,62.23,-6.59,44.6,10.29,44.6
Nome,1,US,1574544601,52,30.04,-94.42,66.2,10.29,63.86
Wanning,71,AT,1574544869,71,48.64,13.53,50.0,14.99,44.31
Kailua,90,US,1574544869,69,21.39,-157.74,84.2,17.22,80.33
Yerbogachen,100,RU,1574544869,96,61.28,108.01,-7.4,8.08,-7.4
Twante,20,MM,1574544870,94,16.72,95.93,77.0,3.36,77.0
Sisimiut,100,GL,1574544870,72,66.94,-53.67,26.94,17.2,26.94
Porto Murtinho,96,BR,1574544870,36,-21.7,-57.88,95.18,7.38,95.18
Velika Obarska,0,BA,1574544870,81,44.8,19.17,46.4,10.29,45.09
Port Shepstone,87,ZA,1574544871,96,-30.74,30.45,68.49,5.75,68.49
Bluefields,40,NI,1574544871,74,12.01,-83.77,86.0,4.7,86.0
Anloga,20,GH,1574544871,83,5.79,0.9,84.2,5.82,84.2
Camopi,71,GF,1574544871,58,3.17,-52.33,84.63,4.45,84.63
Iqaluit,90,CA,1574544872,63,63.75,-68.52,28.4,17.22,27.14
Palmer,20,AU,1574544872,67,-34.85,139.16,60.01,5.82,57.0
Leh,63,IN,1574544622,57,34.16,77.58,17.01,2.53,17.01
North Bend,1,US,1574544872,76,43.41,-124.22,53.01,3.36,51.22
Ranau,75,MY,1574544873,94,5.95,116.67,73.4,5.82,73.4
Kenai,1,US,1574544873,64,60.55,-151.26,39.0,16.11,36.03
Adrar,0,DZ,1574544873,39,27.87,-0.29,66.2,13.87,66.2
Jiangyou,100,CN,1574544873,82,31.78,104.73,46.11,3.13,46.11
Praya,20,ID,1574544873,88,-8.71,116.27,77.0,1.41,77.0
Broken Hill,0,AU,1574544874,42,-31.97,141.45,62.6,14.99,62.6
Gimli,100,CA,1574544874,78,50.63,-96.99,37.99,4.0,37.99
Rio Grande,75,BR,1574544874,46,-32.03,-52.1,71.6,12.75,71.6
Bonaventure,1,CA,1574544874,68,48.04,-65.49,30.99,14.99,28.96
Cabo San Lucas,20,MX,1574544306,64,22.89,-109.91,82.0,8.05,78.24
Hamilton,75,CA,1574544366,74,43.26,-79.87,41.0,6.93,38.86
Aksu,72,KZ,1574544875,84,52.04,76.93,6.8,6.71,6.8
Acajutla,0,SV,1574544706,70,13.59,-89.83,82.87,6.2,82.87
Lubao,100,CD,1574544636,99,-5.39,25.75,66.06,3.04,66.06
Padang,100,ID,1574544876,96,-0.92,100.36,67.73,2.75,67.73
Gambela,100,ET,1574544603,96,8.25,34.59,71.38,2.26,71.38
Hambantota,87,LK,1574544876,76,6.12,81.12,80.6,16.17,80.6
Hanna,17,CA,1574544876,54,51.64,-111.93,46.99,7.0,46.99
Skovorodino,14,RU,1574544877,85,53.99,123.94,-13.72,3.22,-13.72
Sidrolandia,20,BR,1574544877,48,-20.93,-54.96,87.8,11.41,87.8
Grand-Lahou,61,CI,1574544877,75,5.24,-5.0,83.93,13.27,83.93
Baiyin,90,CN,1574544878,53,36.55,104.13,21.2,6.71,21.2
San Pedro,18,AR,1574544878,50,-33.68,-59.66,71.01,1.99,71.01
Ostrovnoy,99,RU,1574544878,92,68.05,39.51,25.47,17.34,25.47
Tari,0,NG,1574544653,20,12.41,4.49,82.56,3.87,82.56
Lamu,98,CN,1574544879,82,35.77,102.37,16.95,3.98,16.95
Morant Bay,20,JM,1574544879,58,17.88,-76.41,84.2,11.41,84.09
Ust-Nera,86,RU,1574544644,96,64.57,143.24,-38.51,1.66,-38.51
Waipawa,0,NZ,1574544879,68,-39.94,176.59,72.0,3.09,72.0
Fukue,75,JP,1574544880,77,35.03,136.69,59.0,13.87,55.38
Cairns,90,AU,1574544663,78,-16.92,145.77,78.01,3.36,73.96
Neyyattinkara,20,IN,1574544880,83,8.4,77.08,80.6,4.7,80.6
Nizhniy Kuranakh,100,RU,1574544653,96,58.84,125.49,-11.81,6.89,-11.81
Gayeri,0,BF,1574544880,15,12.65,0.49,84.97,7.65,84.97
Sirjan,0,IR,1574544881,45,29.44,55.67,43.41,3.76,43.41
Meulaboh,100,ID,1574544881,87,4.14,96.13,78.93,7.78,78.93
Cartagena del Chaira,66,CO,1574544881,55,1.33,-74.84,89.49,3.38,89.49
Rioja,100,PE,1574544881,93,-6.06,-77.17,69.15,1.52,69.15
Zhangjiakou,83,CN,1574544882,34,40.77,114.88,16.54,17.6,16.54
Garowe,63,SO,1574544882,75,8.41,48.48,75.22,11.56,75.22
Yumen,0,CN,1574544583,27,40.29,97.04,9.28,13.11,9.28
Ronneby,31,SE,1574544882,93,56.21,15.28,41.0,14.99,41.0
Kitimat,90,CA,1574544883,100,54.02,-128.69,41.0,5.82,40.12
Bethel,90,US,1574544883,100,60.79,-161.76,24.8,9.17,22.55
Rovaniemi,90,FI,1574544883,100,66.5,25.72,28.4,8.05,28.4
Krasnoborsk,100,RU,1574544883,88,61.56,45.93,14.47,3.78,14.47
Baoding,100,CN,1574544884,58,38.86,115.49,46.85,4.21,46.85
Turan,100,RU,1574544645,90,52.15,93.92,-7.53,3.94,-7.53
Tigil,100,RU,1574544884,73,57.8,158.67,20.66,13.42,20.66
Chingirlau,10,KZ,1574544884,67,51.09,54.08,16.72,7.72,16.72
Buy,99,RU,1574544885,52,58.48,41.53,18.57,4.85,18.57
Saskylakh,100,RU,1574544885,100,71.97,114.09,-25.08,2.33,-25.08
Imbituba,75,BR,1574544885,82,-28.24,-48.67,68.0,14.99,68.0
Bonthe,24,SL,1574544885,86,7.53,-12.5,80.01,6.33,80.01
Kalispell,90,US,1574544823,80,48.2,-114.32,35.01,4.99,32.99
Puerto Colombia,40,CO,1574544773,74,10.99,-74.96,84.2,13.87,84.2
Havre-Saint-Pierre,90,CA,1574544886,80,50.23,-63.6,35.6,10.29,35.6
Coquimbo,40,CL,1574544886,56,-29.95,-71.34,75.0,11.41,72.19
Faya,0,SA,1574544886,87,18.39,42.45,57.2,4.07,56.32
Vanavara,100,RU,1574544887,95,60.35,102.28,0.55,8.59,0.55
Geraldton,90,CA,1574544744,86,49.72,-86.95,30.2,5.82,30.2
Mogadishu,96,SO,1574544887,81,2.04,45.34,82.49,22.62,82.49
Belmonte,56,PT,1574544888,92,40.36,-7.35,48.0,1.01,46.74
Viedma,80,AR,1574544888,24,-40.81,-62.99,72.86,24.09,72.86
Gusau,3,NG,1574544888,19,12.17,6.66,82.13,7.87,82.13
General Roca,90,AR,1574544889,56,-39.03,-67.58,71.6,14.99,71.6
Saint-Francois,100,FR,1574544607,93,46.42,3.91,48.0,3.94,47.41
West Plains,90,US,1574544889,74,36.73,-91.85,41.0,12.75,39.16
Kavaratti,0,IN,1574544730,74,10.57,72.64,83.1,4.76,83.1
Khuzdar,54,PK,1574544890,63,27.8,66.62,51.62,1.77,51.62
Tazovskiy,7,RU,1574544890,95,67.47,78.7,-12.32,8.9,-12.32
Flinders,90,AU,1574544890,77,-34.58,150.85,66.99,6.93,64.8
Aden,2,YE,1574544639,72,12.79,45.03,79.11,16.8,79.11
Great Yarmouth,75,GB,1574544891,87,52.61,1.73,48.99,8.05,47.53
Honningsvag,99,NO,1574544598,77,70.98,25.97,39.36,19.82,39.36
Calama,0,CL,1574544891,16,-22.46,-68.93,77.0,23.04,77.0
Mankato,1,US,1574544891,62,44.16,-94.0,43.0,10.29,41.23
Puerto Narino,75,CO,1574544891,83,-3.77,-70.38,82.4,3.36,82.4
Buala,100,SB,1574544631,77,-8.15,159.59,79.95,4.59,79.95
Shenjiamen,88,CN,1574544892,96,29.96,122.3,66.54,12.95,66.54
Zuenoula,23,CI,1574544892,63,7.43,-6.04,79.05,1.05,79.05
Port Blair,20,IN,1574544892,74,11.67,92.75,80.6,3.36,80.6
Namibe,6,AO,1574544628,75,-15.19,12.15,71.11,14.47,71.11
Taltal,9,CL,1574544893,69,-25.41,-70.49,64.9,8.43,64.9
Vostok,83,RU,1574544605,88,46.45,135.83,18.27,3.47,18.27
Zaysan,100,KZ,1574544893,83,47.47,84.87,1.35,0.89,1.35
Naze,75,NG,1574544893,88,5.43,7.07,80.6,4.7,80.6
Blois,75,FR,1574544622,100,47.59,1.33,50.0,1.12,48.36
Cocobeach,20,GA,1574544894,83,1.01,9.58,82.4,6.93,82.4
Aksha,29,RU,1574544894,83,50.28,113.29,-3.82,8.1,-3.82
Poum,20,MK,1574544894,86,41.28,20.71,39.2,2.24,39.2
Harper,1,US,1574544894,26,30.3,-99.24,75.0,14.99,71.38
Birao,2,CF,1574544895,21,10.3,22.78,72.52,7.07,72.52
Kitui,100,KE,1574544895,89,-1.37,38.02,66.99,4.38,66.99
Sinegorye,100,RU,1574544895,99,62.09,150.53,-19.12,3.33,-19.12
Minsk,100,BY,1574544895,53,53.9,27.56,23.0,13.42,23.0
Gigmoto,67,PH,1574544896,78,13.78,124.39,83.59,16.58,83.59
Fort Nelson,20,CA,1574544896,64,58.81,-122.69,33.8,6.93,33.8
Smolenka,99,PL,1574544896,94,54.15,22.76,28.0,10.98,28.0
Svay Rieng,92,KH,1574544896,78,11.08,105.8,76.6,4.38,76.6
Matagami,40,NG,1574544897,31,9.67,8.4,74.59,4.38,74.59
Lao Cai,82,VN,1574544897,95,22.48,103.95,64.11,0.11,64.11
Havoysund,100,NO,1574544601,90,71.0,24.66,35.6,17.22,35.6
Mareeba,90,AU,1574544612,78,-16.99,145.42,78.01,3.36,74.03
Atar,0,MR,1574544898,26,20.52,-13.05,71.98,7.2,71.98
Zhezkazgan,0,KZ,1574544898,77,47.8,67.71,9.61,1.88,9.61
